Date : 2024-10-02 17:14:33
Directory : c:\Users\rfrjo\pothole-detection-website
Total : 135 files,  3947 codes, 2270 comments, 2006 blanks, all 8223 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| .next\static\webpack (Files)                                                                                       |         54 |         70 |         63 |          0 |        133 |
| .next\static\webpack\app                                                                                           |         54 |        306 |        425 |        187 |        918 |
| .next\static\webpack\app (Files)                                                                                   |         16 |         28 |         44 |         16 |         88 |
| .next\static\webpack\app\dashboard                                                                                 |          5 |         35 |         55 |         20 |        110 |
| .next\static\webpack\app\detections                                                                                |          5 |         35 |         55 |         20 |        110 |
| .next\static\webpack\app\help                                                                                      |          5 |         35 |         55 |         20 |        110 |
| .next\static\webpack\app\model                                                                                     |         11 |         49 |         54 |         33 |        136 |
| .next\static\webpack\app\spreadsheets                                                                              |          7 |         89 |        107 |         58 |        254 |
| .next\static\webpack\app\upload                                                                                    |          5 |         35 |         55 |         20 |        110 |
| .next\types                                                                                                        |          2 |        104 |         20 |         36 |        160 |
| .next\types\app                                                                                                    |          2 |        104 |         20 |         36 |        160 |
| .next\types\app\help                                                                                               |          1 |         52 |         10 |         18 |         80 |
| .next\types\app\maps                                                                                               |          1 |         52 |         10 |         18 |         80 |
| app                                                                                                                |          5 |        346 |          4 |         34 |        384 |
| app\detections                                                                                                     |          1 |        222 |         -2 |         19 |        239 |
| app\maps                                                                                                           |          2 |         14 |          2 |          4 |         20 |
| app\model                                                                                                          |          1 |         63 |          2 |          3 |         68 |
| app\upload                                                                                                         |          1 |         47 |          2 |          8 |         57 |
| components                                                                                                         |          2 |         33 |          0 |          9 |         42 |
| components\ui                                                                                                      |          2 |         33 |          0 |          9 |         42 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                           | language       | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\rfrjo\pothole-detection-website\.next\app-build-manifest.json                                             | JSON           |         10 |          0 |          0 |         10 |
| c:\Users\rfrjo\pothole-detection-website\.next\server\app\_not-found\page.js                                       | JavaScript     |        253 |        150 |        148 |        551 |
| c:\Users\rfrjo\pothole-detection-website\.next\server\app\_not-found\page_client-reference-manifest.js             | JavaScript     |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\server\app\detections\page.js                                       | JavaScript     |         10 |          6 |          6 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\server\app\help\page.js                                             | JavaScript     |        307 |        180 |        180 |        667 |
| c:\Users\rfrjo\pothole-detection-website\.next\server\app\help\page_client-reference-manifest.js                   | JavaScript     |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\server\app\maps\page.js                                             | JavaScript     |        322 |        189 |        189 |        700 |
| c:\Users\rfrjo\pothole-detection-website\.next\server\app\maps\page_client-reference-manifest.js                   | JavaScript     |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\server\app\upload\page.js                                           | JavaScript     |         -5 |         -3 |         -3 |        -11 |
| c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\@radix-ui.js                                   | JavaScript     |         -8 |         -6 |         -6 |        -20 |
| c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\lucide-react.js                                | JavaScript     |          8 |          6 |          6 |         20 |
| c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\next.js                                        | JavaScript     |         20 |         12 |         12 |         44 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\_not-found\page.js                                | JavaScript     |         18 |         14 |          7 |         39 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\detections\page.js                                | JavaScript     |      1,215 |        729 |        729 |      2,673 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\help\page.js                                      | JavaScript     |        278 |        170 |        163 |        611 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\maps\page.js                                      | JavaScript     |        516 |        314 |        307 |      1,137 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\upload\page.js                                    | JavaScript     |         -5 |         -3 |         -3 |        -11 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\css\app\layout.css                                           | CSS            |        146 |          0 |          5 |        151 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\00c0b6e31034d73a.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\0f584aead81d8e0b.webpack.hot-update.json             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\11f1b1d943d71588.webpack.hot-update.json             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\13a2a815337e1d1b.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\1aeb1389161142ce.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\1e7a4e87f51341b7.webpack.hot-update.json             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\24529a00ec2f742a.webpack.hot-update.json             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\291cb78402e3ca30.webpack.hot-update.json             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\397c95cc2c4599a8.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\525460c5e68e0ffe.webpack.hot-update.json             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\527f319d3efb082f.webpack.hot-update.json             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\5333f146b1fce614.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\69c39a029157b06c.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\7539328b2011ded9.webpack.hot-update.json             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\7adc1fe3bb0d6d03.webpack.hot-update.json             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\8b0d77c6c93fef37.webpack.hot-update.json             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\8ebad94ffaa7391c.webpack.hot-update.json             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\91a2463bc649eb31.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\9be2dd9b393341d3.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\a7f8091063e94060.webpack.hot-update.json             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\dashboard\page.1e7a4e87f51341b7.hot-update.js    | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\dashboard\page.527f319d3efb082f.hot-update.js    | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\dashboard\page.7adc1fe3bb0d6d03.hot-update.js    | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\dashboard\page.c643151e7266789f.hot-update.js    | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\dashboard\page.f9d4f18f6f969d33.hot-update.js    | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\detections\page.1e7a4e87f51341b7.hot-update.js   | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\detections\page.527f319d3efb082f.hot-update.js   | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\detections\page.7adc1fe3bb0d6d03.hot-update.js   | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\detections\page.c643151e7266789f.hot-update.js   | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\detections\page.f9d4f18f6f969d33.hot-update.js   | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\help\page.1e7a4e87f51341b7.hot-update.js         | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\help\page.527f319d3efb082f.hot-update.js         | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\help\page.7adc1fe3bb0d6d03.hot-update.js         | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\help\page.c643151e7266789f.hot-update.js         | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\help\page.f9d4f18f6f969d33.hot-update.js         | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.00c0b6e31034d73a.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.11f1b1d943d71588.hot-update.js            | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.13a2a815337e1d1b.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.1e7a4e87f51341b7.hot-update.js            | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.24529a00ec2f742a.hot-update.js            | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.397c95cc2c4599a8.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.527f319d3efb082f.hot-update.js            | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.5333f146b1fce614.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.69c39a029157b06c.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.7adc1fe3bb0d6d03.hot-update.js            | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.91a2463bc649eb31.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.c643151e7266789f.hot-update.js            | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.e39194b7bda3de92.hot-update.js            | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.f2bb6a6d75e88613.hot-update.js            | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.f458d298210365e3.hot-update.js            | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.f9d4f18f6f969d33.hot-update.js            | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\model\page.00c0b6e31034d73a.hot-update.js        | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\model\page.11f1b1d943d71588.hot-update.js        | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\model\page.13a2a815337e1d1b.hot-update.js        | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\model\page.1e7a4e87f51341b7.hot-update.js        | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\model\page.397c95cc2c4599a8.hot-update.js        | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\model\page.527f319d3efb082f.hot-update.js        | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\model\page.7adc1fe3bb0d6d03.hot-update.js        | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\model\page.91a2463bc649eb31.hot-update.js        | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\model\page.c643151e7266789f.hot-update.js        | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\model\page.f458d298210365e3.hot-update.js        | JavaScript     |         35 |         32 |         25 |         92 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\model\page.f9d4f18f6f969d33.hot-update.js        | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\spreadsheets\page.1e7a4e87f51341b7.hot-update.js | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\spreadsheets\page.24529a00ec2f742a.hot-update.js | JavaScript     |         47 |         41 |         34 |        122 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\spreadsheets\page.527f319d3efb082f.hot-update.js | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\spreadsheets\page.7adc1fe3bb0d6d03.hot-update.js | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\spreadsheets\page.c643151e7266789f.hot-update.js | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\spreadsheets\page.f2bb6a6d75e88613.hot-update.js | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\spreadsheets\page.f9d4f18f6f969d33.hot-update.js | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\upload\page.1e7a4e87f51341b7.hot-update.js       | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\upload\page.527f319d3efb082f.hot-update.js       | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\upload\page.7adc1fe3bb0d6d03.hot-update.js       | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\upload\page.c643151e7266789f.hot-update.js       | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\upload\page.f9d4f18f6f969d33.hot-update.js       | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\c643151e7266789f.webpack.hot-update.json             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\cd89bd9a5ffff254.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\e39194b7bda3de92.webpack.hot-update.json             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\e47c7a8ed9f2da79.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\f2bb6a6d75e88613.webpack.hot-update.json             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\f458d298210365e3.webpack.hot-update.json             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\f9d4f18f6f969d33.webpack.hot-update.json             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.00c0b6e31034d73a.hot-update.js               | JavaScript     |         -9 |         -9 |          0 |        -18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.0f584aead81d8e0b.hot-update.js               | JavaScript     |          9 |          9 |          0 |         18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.11f1b1d943d71588.hot-update.js               | JavaScript     |          9 |          9 |          0 |         18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.13a2a815337e1d1b.hot-update.js               | JavaScript     |         -9 |         -9 |          0 |        -18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.1aeb1389161142ce.hot-update.js               | JavaScript     |         -9 |         -9 |          0 |        -18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.1e7a4e87f51341b7.hot-update.js               | JavaScript     |          9 |          9 |          0 |         18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.24529a00ec2f742a.hot-update.js               | JavaScript     |          9 |          9 |          0 |         18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.291cb78402e3ca30.hot-update.js               | JavaScript     |          9 |          9 |          0 |         18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.397c95cc2c4599a8.hot-update.js               | JavaScript     |         -9 |         -9 |          0 |        -18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.525460c5e68e0ffe.hot-update.js               | JavaScript     |          9 |          9 |          0 |         18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.527f319d3efb082f.hot-update.js               | JavaScript     |          9 |          9 |          0 |         18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.5333f146b1fce614.hot-update.js               | JavaScript     |         -9 |         -9 |          0 |        -18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.69c39a029157b06c.hot-update.js               | JavaScript     |         -9 |         -9 |          0 |        -18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.7539328b2011ded9.hot-update.js               | JavaScript     |          9 |          9 |          0 |         18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.7adc1fe3bb0d6d03.hot-update.js               | JavaScript     |          9 |          9 |          0 |         18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.8b0d77c6c93fef37.hot-update.js               | JavaScript     |          9 |          9 |          0 |         18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.8ebad94ffaa7391c.hot-update.js               | JavaScript     |          9 |          9 |          0 |         18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.91a2463bc649eb31.hot-update.js               | JavaScript     |         -9 |         -9 |          0 |        -18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.9be2dd9b393341d3.hot-update.js               | JavaScript     |         -9 |         -9 |          0 |        -18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.a7f8091063e94060.hot-update.js               | JavaScript     |          9 |          9 |          0 |         18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.c643151e7266789f.hot-update.js               | JavaScript     |          9 |          9 |          0 |         18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.cd89bd9a5ffff254.hot-update.js               | JavaScript     |         -9 |         -9 |          0 |        -18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.e39194b7bda3de92.hot-update.js               | JavaScript     |          9 |          9 |          0 |         18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.e47c7a8ed9f2da79.hot-update.js               | JavaScript     |         -9 |         -9 |          0 |        -18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.f2bb6a6d75e88613.hot-update.js               | JavaScript     |          9 |          9 |          0 |         18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.f458d298210365e3.hot-update.js               | JavaScript     |          9 |          9 |          0 |         18 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.f9d4f18f6f969d33.hot-update.js               | JavaScript     |          9 |          9 |          0 |         18 |
| c:\Users\rfrjo\pothole-detection-website\.next\types\app\help\page.ts                                              | TypeScript     |         52 |         10 |         18 |         80 |
| c:\Users\rfrjo\pothole-detection-website\.next\types\app\maps\page.ts                                              | TypeScript     |         52 |         10 |         18 |         80 |
| c:\Users\rfrjo\pothole-detection-website\app\detections\page.tsx                                                   | TypeScript JSX |        222 |         -2 |         19 |        239 |
| c:\Users\rfrjo\pothole-detection-website\app\maps\maplayout.tsx                                                    | TypeScript JSX |         30 |          0 |          5 |         35 |
| c:\Users\rfrjo\pothole-detection-website\app\maps\page.tsx                                                         | TypeScript JSX |        -16 |          2 |         -1 |        -15 |
| c:\Users\rfrjo\pothole-detection-website\app\model\page.tsx                                                        | TypeScript JSX |         63 |          2 |          3 |         68 |
| c:\Users\rfrjo\pothole-detection-website\app\upload\page.tsx                                                       | TypeScript JSX |         47 |          2 |          8 |         57 |
| c:\Users\rfrjo\pothole-detection-website\components\ui\skeleton.tsx                                                | TypeScript JSX |         10 |          0 |          2 |         12 |
| c:\Users\rfrjo\pothole-detection-website\components\ui\tooltip.tsx                                                 | TypeScript JSX |         23 |          0 |          7 |         30 |
| Total                                                                                                              |                |      3,947 |      2,270 |      2,006 |      8,223 |
+--------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
